,ID,LEARNING_RATE,LAMBDA_L2,OUTPUT_KEEP_PROB,NUM_LSTM,NUM_HIDDEN,NUM_MLP,NUM_NEURON,BATCH_SIZE,BATCH_LENGTH
0,1,0.0007627589,0.0003732598,0.5835792245,3,546,2,400,8,4000
1,2,0.0005607273,0.000330904,0.5922115353,2,418,1,470,16,2000
2,3,0.0074066267,0.0007024748,0.6612466122,4,320,3,761,8,3000
3,4,0.0001012075,0.0007909614,0.2546277258,3,146,2,280,16,2500
4,5,0.0008323751,0.0007532469,0.4699089008,3,589,3,150,16,2000
5,6,0.0003335473,0.0003239726,0.2581021466,1,558,1,126,16,3000
6,7,0.0043791023,0.0009761325,0.3816400456,4,254,0,301,16,4000
7,8,0.0001475349,0.0001137388,0.8429291056,4,280,2,335,16,2000
8,9,0.0001542899,0.0006989318,0.4760820378,2,184,2,753,16,3000
9,10,0.0004123694,0.0009541824,0.507340906,4,145,1,75,16,2500
10,11,0.000699443,0.0006337777,0.6438427963,2,350,2,382,16,2000
11,12,0.0004567741,0.0002699559,0.8679146429,3,195,0,424,16,3000
12,13,0.0051381691,0.0007133057,0.5159544911,1,413,2,598,16,2500
13,14,0.0001753671,0.0006848965,0.3978420905,2,286,3,72,16,2500
14,15,0.0001151411,0.0001928202,0.4941742042,1,60,1,94,16,2000
15,16,0.0059658931,0.0005944712,0.639374343,3,599,2,400,16,2500
16,17,0.0056630594,0.0005177035,0.3008298135,3,1089,1,191,16,2000
17,18,0.0097873858,1.37767373909046E-05,0.513549901,1,809,1,731,16,2000
18,19,0.004640242,0.0002916615,0.6338669925,2,69,1,179,16,2500
19,20,0.0022353692,0.0002981913,0.3611644696,4,1054,1,92,16,2500
20,21,0.0090224133,0.0005573443,0.6474419712,3,302,1,105,16,3000
21,22,0.0025402707,8.34679469253004E-05,0.6452760356,2,77,1,143,16,2000
22,23,0.0004875851,0.0008121285,0.4681740079,1,93,2,319,16,2000
23,24,0.002102772,0.0009990826,0.5048358778,3,710,1,93,16,2000
24,25,0.0022290564,0.0005687808,0.7840368098,3,143,1,76,16,2000
25,26,0.0004537903,0.0006231445,0.3301224115,1,158,1,785,8,4000
26,27,0.0034800716,0.0005718217,0.8406861879,2,617,2,182,16,3000
27,28,0.0018280382,0.0009912918,0.7853942467,3,280,2,697,8,4000
28,29,0.0067664279,0.0005121913,0.764980571,3,150,1,644,16,2000
29,30,0.0006241403,0.0007855705,0.7886965806,1,1011,2,889,8,2000
30,31,0.0041938674,0.0007178905,0.8687625595,3,153,2,299,16,2500
31,32,0.0031921061,0.0002085224,0.4953172451,3,90,1,64,16,2000
32,33,0.0013230741,0.0004788492,0.6527797474,4,1066,1,957,8,2000
33,34,0.0040217657,0.0009964268,0.8475581533,2,337,1,333,16,2500
34,35,0.0032538349,0.00095951,0.6686970539,4,948,3,291,16,3000
35,36,0.0001800869,0.000051358,0.6382398436,2,744,0,573,8,4000
36,37,0.0006833813,0.0009925574,0.3479959208,3,1038,3,86,16,3000
37,38,0.0001513803,0.0005099516,0.768722298,3,101,3,150,16,3000
38,39,0.0062471242,1.3017780150423E-05,0.3078112197,1,149,2,392,16,2500
39,40,0.0048821039,0.0009582515,0.5850540602,4,139,2,520,16,3000
40,41,0.0016775115,0.0008671712,0.2786157013,2,197,1,56,16,2500
41,42,0.000453885,6.11266557797907E-05,0.8970786647,1,1014,1,90,16,2000
42,43,0.0103720163,0.0004882533,0.5214261351,1,98,1,420,16,2000
43,44,0.0060453923,8.7462083885666E-05,0.3947718371,3,102,1,216,8,4000
44,45,0.001018068,0.0002920247,0.295242227,3,197,0,57,16,2500
45,46,0.0029006935,0.0006993531,0.3555176727,3,632,2,661,16,2500
46,47,0.0001236461,5.00745212284477E-05,0.6570034995,2,353,1,164,16,2500
47,48,0.0054583695,0.0009226007,0.7019333649,3,783,3,123,8,4000
48,49,0.0004064739,0.0003106048,0.6726007619,3,388,0,752,16,2500
49,50,0.0047338063,0.0005863467,0.628986864,1,779,2,638,16,2000
50,51,0.003989551,0.0002072142,0.8592407753,1,284,0,64,16,2500
51,52,0.0001930613,4.5922773755217E-05,0.8683686162,4,582,1,210,16,3000
52,53,0.0013217152,0.0009923447,0.8293134949,3,627,1,146,16,2500
53,54,0.000102086,0.000359033,0.556215399,3,323,2,609,16,3000
54,55,0.0001338006,0.0003171523,0.3688029618,2,251,1,457,16,2500
55,56,0.0005224184,0.0009824913,0.3196207784,1,307,2,109,16,2500
56,57,0.0095503352,0.0006275502,0.4257768577,2,153,2,58,16,2000
57,58,0.0062121913,0.0009871678,0.5692098213,4,232,1,137,16,2500
58,59,0.0001259469,0.0005868426,0.465045019,2,232,2,245,8,4000
59,60,0.0003324037,8.66981109219737E-05,0.2918861894,2,139,2,208,16,3000
60,61,0.0043877495,0.0004709378,0.8152461135,3,648,1,572,16,2500
61,62,0.0003132432,0.0001524463,0.8364398444,1,602,1,204,16,2500
62,63,0.0026966279,0.0004260558,0.378446268,3,125,1,185,16,3000
63,64,0.0030779427,0.0005173059,0.5229801569,2,125,2,650,16,2000
64,65,0.0001721155,0.0009625407,0.7327173758,2,72,2,242,16,2500
65,66,0.0003420551,0.0003851059,0.3918259118,3,280,1,330,16,2500
66,67,0.0007428969,0.0001496181,0.3004045581,3,108,2,1049,16,2500
67,68,0.0020036074,0.000956514,0.8086400136,2,118,2,656,8,4000
68,69,0.0025090508,0.0002067089,0.6150299835,3,117,0,72,16,3000
69,70,0.0027383746,0.0008278334,0.3947960103,3,1083,0,124,8,3000
70,71,0.0001585158,0.0001040201,0.3386801561,2,108,3,1057,16,2500
71,72,0.0003554309,0.0003273736,0.3393770152,2,90,1,114,16,2000
72,73,0.0021923527,0.0001682693,0.4433813296,3,275,2,198,16,2500
73,74,0.0010610786,0.0008181212,0.5093071181,2,116,0,181,8,4000
74,75,0.0047734711,0.0001719479,0.6816825898,2,82,2,83,16,2000
75,76,0.0001416627,0.0002168886,0.2857626203,2,158,2,272,16,2000
76,77,0.0048260711,0.0002864612,0.4794678223,2,194,1,491,16,2500
77,78,0.0001330287,0.0005514261,0.5011410471,4,186,3,783,16,3000
78,79,0.000102641,7.13426778263514E-05,0.6992591457,1,724,2,123,16,2500
79,80,0.0012746307,0.0002613811,0.3297766237,1,368,3,56,16,2500
80,81,0.0020871279,6.80130967194258E-05,0.3694986603,2,64,2,72,16,2000
81,82,0.0001262823,0.000548993,0.3494881965,1,61,1,217,16,3000
82,83,0.0058801666,0.0002381671,0.6174611522,1,73,0,205,8,4000
83,84,0.0073884312,0.0004430875,0.6072257031,2,435,2,817,16,3000
84,85,0.0033035361,8.97464796545652E-05,0.3727282549,2,325,1,581,16,3000
85,86,0.0001544495,0.0001075313,0.3950813918,3,69,2,470,16,2500
86,87,0.0003460049,0.0001336576,0.7782518814,2,273,3,180,16,2500
87,88,0.0092553448,0.0004345926,0.8956291469,2,169,1,108,8,4000
88,89,0.0036240104,0.0006575241,0.2711202457,3,305,2,791,16,2000
89,90,0.0068361927,0.0007196627,0.3844634291,3,139,0,93,16,2000
90,91,0.001087688,2.46090978657465E-07,0.3403632423,3,67,2,86,16,3000
91,92,0.0002648703,0.0009136315,0.2567373383,4,398,0,708,16,2500
92,93,0.0022317546,0.0006056002,0.540062063,4,133,2,346,16,3000
93,94,0.0009843571,0.0008639239,0.8892592629,4,150,0,188,8,4000
94,95,0.0001199021,0.000795078,0.3055029848,2,69,1,88,16,2000
95,96,0.000140483,0.00086709,0.8523759355,1,305,1,112,16,2500
96,97,0.0007354846,0.0004730529,0.455540839,1,229,2,88,16,3000
97,98,0.0095954974,0.0008265571,0.7307812965,2,348,1,653,8,4000
98,99,0.0032020042,0.0009763437,0.3810808001,3,945,1,695,8,2000
99,100,0.0056857818,0.0002957468,0.6755130619,3,226,2,222,8,4000
